,,1,2,3,4,5,6,7,8,9,10,11,12
Aegypti,0,0.00357407550304,0.00481837624951,0.00562633630234,0.00568492666539,0.0134841162375,0.0167493624036,0.0205427268935,0.0229269829057,0.0164331008456,0.0144580097397,0.00354444561207,0.00334873287529
Aegypti,1,0.00597294194792,0.00823551812548,0.012228860454,0.0117966243632,0.0478836367619,0.0487984832305,0.0828562960483,0.0901278274509,0.0626634212624,0.0568222863239,0.00603592527721,0.0055556433741
Aegypti,2,0.00329754398106,0.00536451256323,0.00663419268137,0.0154682593752,0.0425162929064,0.0446333582972,0.137643829129,0.125030979779,0.0655231809552,0.0343952196617,0.0105643952748,0.00249209919208
Aegypti,3,0.000755731086562,0.000720960139085,0.000710763027563,0.000769800798031,0.000596221086694,0.000714080555513,0.000658125729719,0.00188370359883,0.00192017144065,0.00114229584747,0.00177691544289,0.000780061899939
Aegypti,4,0.00269280092674,0.00278959716717,0.00285790706937,0.00298256554751,0.00246019044064,0.00151970029063,0.00231352002024,0.00236460718689,0.00770657630743,0.0026829192831,0.00244120979973,0.00254678999958
Aegypti,5,0.0025440237309,0.00262677781146,0.00258314327518,0.00266360282869,0.00230296126051,0.00867204539665,0.00930573559002,0.0138059644717,0.0366161336038,0.0110158187545,0.00271687053073,0.00255918471468
Aegypti,6,0.00420587323203,0.00438163653949,0.00497978897973,0.00505254655408,0.00347839582482,0.012553023954,0.0155621527871,0.0201168976442,0.0426996166101,0.0312658596464,0.0044498744868,0.00412416870058
Aegypti,7,0.00484094905648,0.00518623996524,0.00646720650449,0.00612964728977,0.00634328853395,0.0209755776295,0.0235974410466,0.033304128706,0.0597254216386,0.0931641812128,0.00587266944439,0.00482958512323
Aegypti,8,0.0018339172969,0.00156414901646,0.00149413479642,0.00255624899757,0.00532729517594,0.0156740151793,0.0184318252611,0.0244495784358,0.0246768545837,0.015707290203,0.00333207739961,0.00204144942755
Aegypti,9,0.0125429575788,0.00990517510505,0.00680461193639,0.00445581990684,0.00416859101115,0.0483403508654,0.0888198296263,0.104332352802,0.0847510339277,0.0727880044385,0.00997068351004,0.012408859426
Aegypti,10,0.00930626769124,0.00854381572717,0.00739424322279,0.00609275379734,0.0104033630243,0.0647121817922,0.0961335850632,0.119203539058,0.137056095574,0.102543413824,0.0209221059776,0.0108252731171
Aegypti,11,0.0186048113358,0.0181424864042,0.0119872239691,0.00703039297598,0.0121760840647,0.0781871379363,0.108924715873,0.152642401743,0.162078019623,0.187391504423,0.0832746163554,0.0195111027047
Aegypti,12,0.0165924153571,0.0161117228719,0.0141542981445,0.0086557837215,0.0155399366046,0.0888594256662,0.155000545378,0.188921931462,0.213056974798,0.251333947416,0.073815494403,0.0186068085008
Aegypti,13,0.0259246993838,0.0254286508706,0.0160997768697,0.00721593976515,0.0166397283669,0.112906809963,0.202332359377,0.266127724012,0.29188410048,0.337154536355,0.117139376349,0.0222576662949
Aegypti,14,0.0780604307991,0.0807121485425,0.0746820154555,0.0705630484908,0.0663932625612,0.0581205230208,0.057283782793,0.0605630414446,0.0655469432305,0.0790974167258,0.073719433554,0.0781921533669
Aegypti,15,0.118465108243,0.11988137533,0.10840446074,0.101681682779,0.0984647429821,0.0919750630292,0.0842199660207,0.0894383406341,0.0978213238077,0.112254674837,0.103282036778,0.114296685605
Aegypti,16,0.00339254008421,0.00349321699531,0.00377002001094,0.0037151939048,0.00348581832898,0.00339112922794,0.00352689555002,0.00324969618957,0.00375840415003,0.00363903616581,0.00333605731715,0.00353131424196
Aegypti,17,0.0599222059682,0.0862482988163,0.182565997232,0.093712002605,0.0289639145008,0.0210775986352,0.0173151284311,0.0170698484728,0.0191835146725,0.0244037370054,0.0422107451693,0.0515371467384
Aegypti,18,0.119981281194,0.111653512134,0.124929929418,0.104145927642,0.0209528555238,0.0183696037547,0.0141941216642,0.0161140058883,0.0159072642678,0.117752225363,0.136458577348,0.125344515001
Aegypti,19,0.194437642266,0.190157340953,0.217599048393,0.131187191307,0.0295195133513,0.0168132911527,0.0147676020882,0.0199592251923,0.0174525044127,0.0673038568476,0.168097085087,0.196153620118
Aegypti,20,0.142743649919,0.142748552172,0.253470628463,0.256621532309,0.0380108545543,0.0225071618004,0.0183809844132,0.0195446307561,0.0402378311144,0.115740285003,0.189170593438,0.144347149968
Aegypti,21,0.109695062121,0.152844059186,0.235587293027,0.2569939287,0.0744728235256,0.0370518396546,0.0247580516063,0.0227968919331,0.025761656388,0.0606288276647,0.252941175596,0.154434660921
Aegypti,22,0.0699109868595,0.0539422770217,0.0444339020915,0.091097695803,0.218085081732,0.0340087948557,0.121305052147,0.288361960155,0.280101409536,0.171899275218,0.183728065808,0.204078801842
Aegypti,23,0.0740250017941,0.0596278991829,0.0561431914457,0.0969863651406,0.239611556555,0.0523553364044,0.156690570808,0.224510860764,0.224909306042,0.146666384553,0.196654921668,0.222578084757
Aegypti,24,0.0790152252055,0.0197373621433,0.0184635099508,0.0247185276797,0.0845679801581,0.0930477507444,0.0852113622475,0.076514155616,0.0864367416081,0.0826191712351,0.0935803444998,0.0900776665649
Aegypti,25,0.0810914119249,0.042501762005,0.0394081664599,0.0502700127976,0.148010870063,0.0808849603024,0.106215539187,0.0998145421368,0.116977512602,0.12599135636,0.152510898355,0.14184443169
Aegypti,26,0.0268181060963,0.0234509213227,0.0174842374711,0.00753411008015,0.00310069311766,0.00184129931621,0.00178898369939,0.00182014919237,0.00237742534103,0.00513587460905,0.00884854243909,0.0161289646779
Aegypti,27,0.0621550734615,0.0603976281441,0.0415806439224,0.0142971122872,0.00193520334074,0.000966151873604,0.00100561280295,0.00102862490453,0.00114358153767,0.00834195484828,0.0262819153761,0.0510235743848
Aegypti,28,0.147854496762,0.144185538851,0.135202063866,0.0315489579525,0.0129899080157,0.00881119720827,0.00553355605213,0.00725537932764,0.00892033303927,0.0344412669139,0.13220337715,0.139691473796
Aegypti,29,0.116782963086,0.119390255319,0.0984968816215,0.0342141825617,0.00525604125269,0.00122558831708,0.00110330260883,0.0013688196663,0.00371262122792,0.0207082552941,0.0690669724308,0.100393532611
Aegypti,30,0.149375263723,0.147507475157,0.139759010816,0.0704062796527,0.0122579029373,0.00178630067419,0.00104672328019,0.00156461244696,0.00491333904061,0.0406225899368,0.0701976331901,0.116852919313
Aegypti,31,0.218016458942,0.238728931291,0.252706328851,0.0723886946201,0.0422549971883,0.00783192270178,0.00478314545694,0.0116908722392,0.0379712701864,0.0710373849446,0.138221065371,0.171509832032
Aegypti,32,0.254284904656,0.248135528905,0.245763934013,0.143708266989,0.0416141728101,0.0158807370945,0.00554628597923,0.0103501223853,0.0267299501154,0.0756120973099,0.164796767376,0.210049587199
Aegypti,33,0.00134460727774,0.00136107679582,0.00138653646357,0.00212326391478,0.00340188847308,0.0127243775047,0.0125629941212,0.0178454483634,0.0136319350395,0.00374594067599,0.00134164244913,0.00129875826028
Aegypti,34,0.109212731596,0.118695935056,0.117157862582,0.0834626612521,0.10360284336,0.0793485527128,0.0967165195788,0.081828681706,0.122034442073,0.30852268304,0.305445092878,0.231323037773
Aegypti,35,0.0185544908927,0.0227420401614,0.0183353028926,0.0113518916543,0.00786703058307,0.00415665257724,0.00326813308091,0.00318367549217,0.00372413859518,0.00546788195273,0.00807555942777,0.0117278923057
